company_id,mon_open,tue_open,wed_open,thu_open,fri_open,sat_open,sun_open,mon_close,tue_close,wed_close,thu_close,fri_close,sat_close,sun_close
1,,,,,,,,,,,,,,
2,6:00,6:00,6:00,6:00,6:00,10:00,10:00,23:00,23:00,23:00,23:00,23:00,20:00,20:00
3,6:00,6:00,6:00,6:00,6:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,
4,6:00,6:00,6:00,6:00,6:00,6:00,12:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,20:00,18:00
5,6:00,6:00,6:00,6:00,6:00,8:00,12:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,20:00,18:00
6,6:00,6:00,6:00,6:00,6:00,9:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,20:00,20:00
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,6:00,6:00,6:00,6:00,6:00,6:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,
13,,,,,,,0:00,,,,,,,24:00:00
14,6:00,6:00,6:00,6:00,6:00,6:00,6:00,22:00,22:00,22:00,22:00,22:00,21:00,21:00
15,6:00,6:00,6:00,6:00,6:00,10:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,21:00
16,6:00,6:00,6:00,6:00,6:00,,,21:00,21:00,21:00,21:00,21:00,,
17,6:00,6:00,6:00,6:00,6:00,9:00,9:00,22:00,22:00,22:00,22:00,22:00,18:00,18:00
18,6:00,0:00,0:00,0:00,0:00,0:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,22:00,18:00
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,6:00,6:00,6:00,6:00,6:00,9:00,10:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,21:00,17:00
22,,,,,,,,,,,,,,
23,6:00,6:00,6:00,6:00,6:00,10:00,,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,18:00,
24,7:00,7:00,7:00,7:00,7:00,10:00,10:00,23:00,23:00,23:00,23:00,23:00,20:00,20:00
25,,,,,,,0:00,,,,,,,24:00:00
26,,,,,,,,,,,,,,
27,6:00,6:00,6:00,6:00,6:00,9:00,,23:00,23:00,23:00,23:00,23:00,18:00,
28,6:00,6:00,6:00,6:00,6:00,8:00,8:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00
