,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
16,16,와치 휘트니스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200727_238%2F1595807602514rVjyr_JPEG%2Fr4t2XxYseSzubgIreIOtl8fK.jpg,,37.5778160010547,127.061742980486,02-2215-1080,"서울특별시 동대문구 사가정로 150, 2층 (전농동)",13346875,서울 동대문구 사가정로 150
17,17,New Body Gym,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_243%2F161666075550316QyQ_PNG%2FFGIPJyr16JyuirOwGPzeTSOW.png,,37.5663400418002,127.068263880601,02-2215-1500,서울특별시 동대문구 장한로 60 (장안동),37695664,서울 동대문구 장한로 60 웅진타워2층
18,18,크로스핏 리스펙,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211105_285%2F1636080562665drf6n_JPEG%2F_q9gMUlspsvPVI7wy14HpuQS.jpg,,37.5903959972497,127.059877891806,,"서울특별시 동대문구 망우로21길 52, 지하1층 (휘경동)",37830085,서울 동대문구 망우로21길 52 C동 지하1층
19,19,시티짐 퍼플,,4.55,37.5675757498172,127.052209219835,02-3394-6411,서울특별시 동대문구 천호대로 281 (답십리동),38547944,서울 동대문구 천호대로 281 동부시장2층 시티짐퍼플
20,20,MJ 스포랜드,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210512_37%2F16208015366531pdAn_JPEG%2FTuRNCFjub627QZSmWAF_CxFt.jpg,4.27,37.5886701518475,127.053686007325,02-966-7001,"서울특별시 동대문구 이문로 3, 3층 (회기동)",1762627983,서울 동대문구 이문로 3 1층
21,21,더빠짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200102_190%2F1577936973451gtI5G_JPEG%2FbR4-qIE8eDP_va9ieEVvaNrQ.jpg,,37.586357936761,127.038164357522,02-6082-5605,"서울특별시 동대문구 제기로 46, 4층 좌측호 (제기동)",1911933815,서울 동대문구 제기로 46 4층 402호
22,22,트리플에이짐(Triple A Gym),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181211_176%2F1544538118926qs4lY_JPEG%2FKADa9rLdXdOMmDCufD5K0FNV.jpg,4.5,37.583880774252,127.054015310688,02-3390-4450,"서울특별시 동대문구 서울시립대로 155, 2, 3층 (전농동)",1432171943,"서울 동대문구 서울시립대로 155 면전빌딩 2층, 3층 트리플에이짐"
23,23,스포애니 신설동역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190121_224%2F1548051005401X17Wb_JPEG%2FFGc0aW7lOeWaChBIqT0oBUl1.JPG.jpg,3.98,37.5753483891625,127.024344406042,02-953-9618,서울특별시 동대문구 천호대로 3 (신설동),1836723263,서울 동대문구 천호대로 3
24,24,머슬아카데미 GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190417_155%2F1555466656882h4SO8_JPEG%2FQny1Mio8xv_81QSu3BDJCKPI.jpg,4.78,37.5841917064823,127.045696927384,,"서울특별시 동대문구 약령시로21길 30, 상가동 지하 1호 (청량리동, 현대아파트)",1175898657,서울 동대문구 약령시로21길 30 현대상가B1
25,25,상승짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211011_87%2F1633921904142S04jY_JPEG%2FRIYU0Im7zxZjPmCQsrI-IWgK.jpg,4.78,37.5692890566257,127.070165745497,,"서울특별시 동대문구 장한로 98, 케이타워 지하1층 (장안동)",1600051682,서울 동대문구 장한로 98 B1층
26,26,머슬랭PT,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211102_39%2F1635842129533X8riL_JPEG%2F6_5otQqK8qgOhOUMOvw7K6HX.jpg,,37.5717980647036,127.057116474083,,"서울특별시 동대문구 전농로 77, 3층 (답십리동)",1410505118,서울 동대문구 전농로 77 3층 머슬랭PT 답십리점
27,27,직선 퍼스널트레이닝(장안점),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210308_175%2F1615172249449ctc3c_PNG%2FOEipc5MT9rmvbXOVV6SFzORE.png,5.0,37.5719953693996,127.070930222624,,"서울특별시 동대문구 장한로 129, 지층 (장안동)",none,
28,28,제프짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210805_201%2F1628123997736XIX5I_JPEG%2F2m5OHfIMD5lBQmfqRgvD35-Q.jpg,5.0,37.5821227010138,127.047209103701,,"서울특별시 동대문구 왕산로 225, 미주상가 A동 2층 6-2호 (청량리동)",1447192958,서울 동대문구 왕산로 225 미주상가 A동 2층
29,29,하나더 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210628_33%2F1624862167689nJOKB_JPEG%2FO4RVrhWwNZ3GBotyPJR6tuq-.jpeg.jpg,4.73,37.5766590358858,127.061567688813,,"서울특별시 동대문구 사가정로 148, 138동 지하1층 112~116 118 119호 (전농동, 전농 SK아파트)",1714218548,서울 동대문구 사가정로 148 sk아파트 주상가 지하1층
30,30,빛나짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210930_145%2F16329780843534Js96_JPEG%2FdFZKn2GngCspQqOeMoPc1vmN.jpg,,37.5659518658798,127.067053080766,,"서울특별시 동대문구 천호대로83길 92, 2층 (장안동)",1939255719,서울 동대문구 천호대로83길 92 201호
31,31,크로스핏 온앤온,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201026_213%2F1603721698718zIsbt_JPEG%2FDl2tl6Cp6xwclA4qQ2olGhMj.jpg,4.91,37.5633516759971,127.066903609359,,"서울특별시 동대문구 천호대로85길 32, 동양빌딩 지하1층 (장안동)",1119036208,서울 동대문구 천호대로85길 32 B1
32,32,FITNESS K,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170510_246%2F1494384570743b9VDF_JPEG%2F186460517950628_0.jpeg,,37.577593600245,127.059888015776,,"서울특별시 동대문구 사가정로 136, 3층 (전농동)",38500879,서울 동대문구 사가정로 136
33,33,베이스오브바디,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220713_167%2F1657677748634CNUOg_JPEG%2FKakaoTalk_20220712_085622371_02.jpg,5.0,37.5680105003259,127.057406070901,02-6952-5995,"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 2층 203호 (답십리동)",1640545905,서울 동대문구 전농로 36 2층 203호
34,34,팀현gym,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210122_294%2F1611294456237WASJl_JPEG%2FKakaoTalk_Image_2021-01-19-15-49-23_002.jpeg,5.0,37.5743500419723,127.024125261667,,"서울특별시 동대문구 천호대로2길 15, 2층 (신설동)",1244553490,서울 동대문구 천호대로2길 15 2층
35,35,닥터스트렝스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220613_153%2F1655091509048EsFaf_JPEG%2FIMG_6161_-_%25BA%25B9%25BB%25E7%25BA%25BB.jpg,5.0,37.5821955602691,127.030285719948,,"서울특별시 동대문구 무학로42길 45, 지하1호 (제기동)",1031732165,"서울 성북구 고려대로22길 5 B01호 닥터스트렝스, 안암역 4번출구 15초 거리"
36,36,101퍼센트짐,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220311_259%2F1647002213880HofzV_PNG%2F101PE1.,,37.5932669499256,127.052221274697,,서울특별시 동대문구 경희대로 19-5 (회기동),1111541145,서울 동대문구 경희대로 19-5 지하1층
37,37,triofit,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220609_90%2F16547351218639FuIq_PNG%2FKakaoTalk_20220609_084645229.png,5.0,37.5693939271102,127.072997968629,,서울특별시 동대문구 답십리로72길 66 (장안동),1794501277,서울 동대문구 답십리로72길 66 해연빌 B1
38,38,빌리프짐 회기점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210428_121%2F1619578486611Hi4du_JPEG%2Fp5R2Q9vzLOPiuZ_u5u-YmZUu.jpg,4.86,37.591711720367,127.06659655052,02-2217-9059,"서울특별시 동대문구 망우로 123, 4층 1호 (휘경동)",1517849923,서울 동대문구 망우로 123 4층 빌리프짐
39,39,메이크픽스짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210604_263%2F1622799109264JgKYX_JPEG%2F51xeOiDiKB_tsDjiuQxrW9ev.jpg,5.0,37.5913085191965,127.055649231405,,"서울특별시 동대문구 경희대로4길 64, 지하1층 (회기동)",1267112801,서울 동대문구 경희대로4길 64 지층 지층호
40,40,제네핏(Genefit),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220303_43%2F1646316460207JGXG3_JPEG%2F_DSC6373.jpg,5.0,37.5789616415787,127.050294994577,02-3394-5528,"서울특별시 동대문구 서울시립대로 94, 4층 (전농동)",none,
41,41,브이엠휘트니스 청량리점,,,37.5784693244422,127.043528549832,02-964-1110,"서울특별시 동대문구 답십리로 9, 6층 (전농동)",1021637056,서울 동대문구 답십리로 9 시대빌딩 6층
42,42,소울핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210825_79%2F1629876807952f82qB_JPEG%2F5ZZ2uZoYwKaz9r9ZxvisXRhY.jpg,4.94,37.5638282144142,127.06577851377,,"서울특별시 동대문구 장한로 25, 9층 (장안동)",1011547835,서울 동대문구 장한로 25 9층 소울핏
43,43,"HEY, HONEY, WORKOUT!",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211007_26%2F16335877699127Y0iO_PNG%2FBJ42_OpINFHSWGABJM97AQeN.png,,37.5626109816786,127.065754693542,,"서울특별시 동대문구 장한로 14, 지하 2층 (장안동)",1049191925,서울 동대문구 장한로 14 지하1층
44,44,회기동헬스학교 경희대학교점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220402_221%2F1648887236331Km5Yi_JPEG%2F3.jpg,,37.5926697313193,127.052920730097,,"서울특별시 동대문구 회기로19길 23, 2층 (회기동, 유경빌딩)",1820081463,서울 동대문구 회기로19길 23 유경빌딩 2층
45,45,fitpoint gym,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211217_130%2F1639737418793lDW6L_JPEG%2FKakaoTalk_20211217_193649083.jpg,,37.5724894025765,127.055597303756,,"서울특별시 동대문구 답십리로 140, 세기프라자 5층 503호 (답십리동)",1756677104,서울 동대문구 답십리로 140 세기프라자 5층 핏포인트짐
46,46,원오원짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220419_64%2F1650369880744v3Pzf_JPEG%2F%25BF%25F8%25BF%25C0%25BF%25F8%25C1%25FC-%25BF%25F8%25BA%25BB.jpg,,37.5673575504382,127.061517245965,,"서울특별시 동대문구 한천로11길 16, A빌딩 3층 (답십리동)",1118822736,서울 동대문구 한천로11길 16 3층
47,47,조인성퍼스널트레이닝 운동과학센터(회기점),https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220514_45%2F165252180850875APD_PNG%2FLOGO_inst.png,5.0,37.5895567328256,127.055622225035,,"서울특별시 동대문구 이문로 22, 2층 (휘경동)",none,
48,48,루아짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220613_32%2F165510176884195Hf3_JPEG%2F1655100248803.jpg,,37.5723544570231,127.074804796028,,"서울특별시 동대문구 답십리로 309, 2층 (장안동)",1584292847,서울 동대문구 답십리로 309 2층
49,49,체크핏,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211222_98%2F16401797104936VnN4_JPEG%2F1640179561531.jpg,,37.5796614885561,127.070615072414,,"서울특별시 동대문구 사가정로25길 22-4, 3층 (장안동)",1236667198,서울 동대문구 사가정로25길 22-4 3층
50,50,바디랩PT 장안점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220518_175%2F1652874101752H8qnl_JPEG%2F20220513_195002.jpg,,37.5635148848846,127.066356503216,,"서울특별시 동대문구 장한로 26, 2층 (장안동)",1761481017,서울 동대문구 장한로 26 2층 바디랩PT장안점
51,51,나봄PT&필라테스,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220307_88%2F16466202652205WaUE_JPEG%2F4621B5EC-0B46-4D7E-A773-43702C28624B.jpeg,,37.5922901540487,127.053496797508,,"서울특별시 동대문구 경희대로4길 18, 지하1층 (회기동)",1242965948,서울 동대문구 경희대로4길 18 지하1층
52,52,더밸런스랩,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220726_16%2F1658807361972qGnF4_JPEG%2FKakaoTalk_20220725_203719577_01.jpg,,37.5774593059413,127.031320774585,,"서울특별시 동대문구 왕산로16길 9, 3층 301호 (용두동)",1170597645,"서울 동대문구 왕산로16길 9 3층,301호"
53,53,옐로우필라테스&PT,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220417_126%2F1650161999085jHGIp_JPEG%2F20211010_164127.jpg,,37.5963772251146,127.06094505794,,"서울특별시 동대문구 휘경로 5-1, 4층 (이문동)",1936244049,"서울 동대문구 휘경로 5-1 4층,5층"
54,54,바디온도,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220616_2%2F1655376886631Dh9Om_JPEG%2FKakaoTalk_20220616_195418870.jpg,,37.5742798746802,127.057816372039,,"서울특별시 동대문구 전농로 104, 2층 (답십리동)",1841456029,
55,55,동네 운동장,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220707_249%2F1657127478159PrPfR_JPEG%2FB1C85A73-12DA-4E71-BBF7-FC0EE6D29FB2.jpeg,,37.5926259570167,127.057881968224,,"서울특별시 동대문구 이문로 62, 지하1층 (휘경동)",1116234307,서울 동대문구 이문로 62 B1
56,56,셀리핏,,,37.5862240361471,127.0334555854,02-6348-1005,"서울특별시 동대문구 제기로 4, 3층 (제기동)",1655223785,서울 동대문구 제기로 4 3층
