,id,name,img,grade,lat,lng,phoneNumber,address,naver_map_url,address2
15,15,커브스 둔촌클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210716_207%2F1626424362842UThqA_PNG%2FnDJ8E_VjB-uWiXQpX0RpR7EM.png,,37.5255782960195,127.134903109178,,"서울특별시 강동구 양재대로 1335, 동부빌딩  201호 (성내동)",36528813,서울 강동구 양재대로 1335 동부빌딩 201호
16,16,카인드 짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211118_100%2F1637225266000BtyTn_JPEG%2F3.%25C5%25E4%25C5%25A9%25C1%25B801.jpg,4.78,37.5649623335076,127.174603355856,426-9682,"서울특별시 강동구 아리수로 427, 중앙프라자 10층 (강일동)",99955839,"서울 강동구 아리수로 427 10층 (강일동,중앙프라자)"
17,17,업투 선사역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220526_26%2F1653531811573MvaEd_JPEG%2F2345t6yujk.jpg,,37.5549629751793,127.137534131713,02-3426-8802,서울특별시 강동구 고덕로 109 (암사동),1253761105,서울 강동구 고덕로 109 3층 업투 휘트니스
18,18,M PT GYM,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_70%2F1441073606594cOb5s_JPEG%2F33920331_0.jpeg,,37.5447800056278,127.144240238074,02-6229-0071,서울특별시 강동구 양재대로128길 25 (명일동),33920331,서울 강동구 양재대로128길 25
19,19,세종텔레콤 피트니스 센터,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210420_201%2F1618897536504J9I4I_JPEG%2FoEmzU-neOLfKFKe789ELuqGQ.jpg,,37.5507989598659,127.174104292142,3415-4928,"서울특별시 강동구 상일로10길 36 (상일동, 세종텔레콤지식산업센터)",1541294813,서울 강동구 상일로10길 36
20,20,노블레스클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151201_288%2F1448980804370k3dxt_JPEG%2F167151637023349_0.jpeg,,37.5345568374059,127.144665419318,,서울특별시 강동구 천호대로 1200 (둔촌동),36744814,서울 강동구 천호대로 1200 4층
21,21,Fitness Classic,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210811_141%2F1628640439308a5tep_JPEG%2FftvpUYT1XNz-vIjCcZPESNgf.JPG.jpg,4.91,37.5378612798048,127.148276995511,476-6988,"서울특별시 강동구 천호대로 1239, 상가동 지층 101호 (길동)",1749152341,서울 강동구 천호대로 1239 지하1층
22,22,New body PT gym,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150813_121%2F1439450069156ewMmB_JPEG%2F166761587071862_0.jpeg,,37.5299978861782,127.13154949367,070-5025-4810,"서울특별시 강동구 성안로 71, 지층 (성내동)",37009302,서울 강동구 성안로 71 소망빌딩 B1
23,23,커브스 천호클럽,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200501_56%2F1588335673031Rd4my_JPEG%2F9hVqyNJBvRAMmjvyqmmDV8_T.JPG.jpg,4.86,37.5393391659214,127.123301730964,02-470-0030,"서울특별시 강동구 천호대로 997, 502호 (천호동, 신라빌딩)",37490609,서울 강동구 천호대로 997 신라빌딩 5층
24,24,올댓컨디셔닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160629_119%2F14671844612930MytH_JPEG%2F176579564440479_0.jpeg,,37.5241603490433,127.133909572195,,서울특별시 강동구 양재대로89가길 56 (성내동),38262452,서울 강동구 양재대로89가길 56
25,25,스타트라인,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170315_189%2F1489541489221bDJiy_JPEG%2F186265506148936_0.jpeg,4.98,37.5240672132671,127.130992455402,02-6448-1121,"서울특별시 강동구 양재대로81길 64 (성내동, 코스카 빌딩)",580939641,서울 강동구 양재대로81길 64 코스카 빌딩
26,26,위너바디,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220704_45%2F1656929357481jGh26_JPEG%2FKakaoTalk_20220704_183716161.jpg,4.95,37.540555377209,127.124975762766,,"서울특별시 강동구 올림픽로 664, 2층 (천호동, 대우 한강 베네시티)",38461173,서울 강동구 올림픽로 664 대우한강베네시티 2층
27,27,KCA트레이닝센터,,,37.5291463309836,127.134367625157,471-5543,서울특별시 강동구 풍성로 204 (성내동),38332479,서울 강동구 풍성로 204 B1 kca트레이닝센터
28,28,차선생 body factory,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170622_65%2F1498095354790TVWom_JPEG%2F186572506574171_0.jpeg,4.96,37.5500327404591,127.125881628744,,서울특별시 강동구 상암로4가길 7 (암사동),851123446,서울 강동구 상암로4가길 7
29,29,스포애니 길동역점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170628_69%2F1498625853478zMbVg_JPEG%2F186576564871227_0.jpeg,4.26,37.5393037183438,127.140289392361,02-486-9618,"서울특별시 강동구 양재대로 1495 (길동, 만종빌딩)",960874888,"서울 강동구 양재대로 1495 만종빌딩 2,3,4층"
30,30,펄스짐,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191118_147%2F1574077536890OlLyC_JPEG%2F-tuCtY-c05suR1VHEprK5BZ8.JPG.jpg,4.95,37.5346033324204,127.135156170058,6140-5844,서울특별시 강동구 천호대로 1116 (성내동),1549836239,서울 강동구 천호대로 1116 2층
31,31,컨베이지,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180711_81%2F15312776983263x50S_JPEG%2F6ZMeT20Zu1JNLx9OkGeqytQh.jpg,,37.5355472561559,127.146896026942,,"서울특별시 강동구 천호대로 1224, 현대크리닉빌딩 201호 (둔촌동)",1504390701,서울 강동구 천호대로 1224
32,32,스포애니 천호초교점,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190607_177%2F1559893043277ckhcW_JPEG%2FdH_ugm90IwsTq6lNoyH2djEy.jpg,3.83,37.5467270340876,127.134809493652,02-484-9618,"서울특별시 강동구 구천면로 304, 일주빌딩 (천호동)",1912068310,서울 강동구 구천면로 304 일주빌딩 1층
33,33,바디온,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211229_128%2F1640754668635Wg7XP_JPEG%2FScreenshot_20200708-231418_Gallery.jpg,,37.5338931109162,127.144558916412,,서울특별시 강동구 명일로 167 (둔촌동),1797391502,서울 강동구 천호대로162길 17 1층
34,34,UC PT&YOGA,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220703_10%2F1656829783568g4ixI_JPEG%2FKakaoTalk_20220703_152925275.jpg,,37.5370665677501,127.147509879628,,"서울특별시 강동구 명일로 200-33, 3층 (길동)",1616754940,서울 강동구 명일로 200-33 3층
35,35,TEAMK 퍼스널트레이닝,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200313_70%2F1584076796585cKodO_JPEG%2FteOmfoWJ-WWYsjR5FhtsKM6T.jpg,,37.554156377051,127.154528830061,,"서울특별시 강동구 동남로75길 29, 세종프라자 (명일동)",1612643026,서울 강동구 동남로75길 29 세종빌딩 B1
