idx,cnt,review1,review2,review3,review4,review5,review6,review7,review8,review9,review10,review11,review12,review13,review14,review15,review16,review17,review18,review19,review20,review21,review22,review23,review24,review25,review26,review27,review28,review29,review30,review31,review32,review33,review34,review35,review36,review37,review38,review39,review40,review41,review42,review43,review44,review45,review46,review47,review48,review49,review50
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50,"사실 피티를 시작하기 전에는 막연히 ‘처음 다니는 헬스장이니까 해볼까?’하는 마음으로 끊었었습니다 그런데 종찬쌤께 피티를 받다보 니 점점 내 몸이 지금 어떤 상태인지, 어떤 단계로 어디부터 운동을 해나가야하는지 자세히 알게 되면서 전문성 있는 선생님의 티칭이 왜 필요한지 몸으로 느낄 수 있었어요! 덕분에 그저 몸의 불균형이라고 생각했던 것들이 근육의 문제와 연관이 있다는 걸 알게됐...
내용 더보기","헬스가 처음이라 걱정이 많았는데 ?이시정쌤?이 기초부터 차근차근 알려주셔서 적응하기 쉬웠어요 ㅎㅎ 운동을 배울 때마다 근육이 어떻게 움직여야 하는지 이해하기 쉽게 설명해주시고, 자세를 꼼꼼히 봐주셔서 도움이 많이 됩니다!! 혼자 하는 거였다면 오래 못했을 것 같은데 시정쌤과 함께 운동을 배워가다 보니 열심히 운동을 할 의욕이 생기는 것 같아요!??",쏘쏘...,여성전용이라 정말편하게 이용하고있습니다~^^,"휘트니스피플 우먼 구의점??전하영??피티쌤 추천합니다 코로나로 체중이 늘어남과 동시에 30대에 들어서며 체력이 매우 떨어져 PT를 시작하게 되었습니다^^ 벌써 두 달이 지났네요 
두달 동안?하영쌤?과 운동하며 2년 동안 변화없던 몸무게에서 -4kg 체중감량 그리고 금요일에도 월요일과 같은 체력을 유지할 수 있게 되었고 퇴근 후 하영쌤과 운동하며 일할 때 받은 스트레스도 풀려 몸도 마음도 건강해졌습니다!
그래서 처음에는 PT30회를 끊고 시작했는데 
10회 차도 안되어서 추가 30회를 끊었습니다^^
운동을 정말 싫어하던 제가 체형이 변하고 몸무게가 변하고 체력이 변하는걸 경험하다보니 이제는 운동이 재밌어지기까지 했습니다. 다 하영쌤 덕분이에요??고민하시는 분이 있다면 하영쌤 추천합니다~ 후회 안하실거에요!!","운동에 운자도 모르던 몸치라 ?? PT부터 등록했는데
종찬쌤이 늘 차근차근 어디에 자극이 가야하는지 어떤 운동인지 알려주시고 제 운동수준(?)에 맞춰서 알려주셔서 좌절하지 않고 운동에 재미 붙여가고 있습니다! 쏘감사 ????
심한 거북목이랑 라운드숄더인데 체형 교정도 신경써서 운동 알려주시고 
운동 끝나고도 늘 다치거나 몸에 이상은 없었는지 체크해주셔서 건강하게 운동 배울 수 있어요!
여성전용이라 눈치보지 않고 운동할 수 있다는 것도 생각보다 큰 장점이에요?? 휘트니스피플 구의점 강추강추합니다!","지금까지 한번도 운동을 제대로 배운적이 없어서 런닝머신도 제대로 못뛰는 제가 운동을 매일매일 습관적으로 다니고 있네요^^ 
자세도 꼼꼼히 봐주시고 어떻게 힘이 들어가는지 깨달아가게 해주신 유심현 트레이너’ 님께 감사드려요~????
이제 두달째지만 벌써 몸이 변하는걸 보면서 뿌듯함을 느낍니다 ㅎㅎ 다이어트 화이팅..","ㄱㅅ
피티 처음입니다 매번 걷기만 하다가 큰맘 먹고 등록 했네요 이래저래 생각보다 몸뚱이가 성치 않는 상태에 맞춰서 잘해주세요 그래서 숨어있던 그뉵의 존재를 알게해줘요
피티 받다가 힘들어서 많이 부들부들 거리기도 하지만 아무런 생각 없이 운동 하니 좋더라구요 
여성전용이어서 선택한게 제일 커요 트레이너님 완전 굿굿 귀여워용
운동 하다가 이상한 자세로 있다고 잠시 짬날때에도 봐주시고 귀여운 트레이너님??
아 여러 프로그램도 있는데 시간 맞는걸 하다보니 줌바를 종종 하고 있어요 이것도 재미나요 스트레스 좍좍 풀려용",친절하게 상담해주시고 가격도 합리적이고 시설이 깨끗하고 프로그램이 다양해서 좋아요~,"?????전하영 선생님????? 추천해요! 
운동도 처음 피티도 처음인 저를 정말 많이 이끌어주셨어요ㅎㅎ 평소에 움직이는것도 싫어하고 집에선 누워만 있던 사람이었는데 ??전하영 선생님??을 만나고 운동이 재밌어지고 체력도 눈에 띄게 늘었어요! 식단 부분에서도 ♥?전하영 선생님♥?은 전혀 스트레스 받지 않게 해주시고 오히려 먹고싶은건 먹어야한다고 해주셔서 마음이 좀 편했어요! ??전하영 선생님??과 운동한지 곧 세 달 째인데 내장지방레벨도 줄고 근육은 늘고 체지방률은 줄고 그리고 무엇보다 체력이 는게 너무 많이 느껴져서 너무 좋고 주변에서 자세도 좋아졌다고 하니 정말 뿌듯했어요ㅎㅎ 전부 ??전하영 선생님??덕분입니다! 앞으로도 ??전하영 선생님??이 알려주신 운동들로 꾸준히 할거에요ㅎㅎ 감사합니다 선생님!??",무료체험 해보고 바로 결정했어요 자세도 꼼꼼히 봐주시고 기구에대해 잘 알려주셨어요 예전부터 관심이 너무 많아 하고싶었는데 이제 시작하면 열심히 해보려구요,역 근처에 있어서 이용하기좋고 우선 시설이 깨끗하고좋아요 운동기구들도 다양하고 다양한 프로그램들이 있어 기분 좋게 운동할수 있을거 같아요,친절하게 상담해주셔서 처음 가본 헬스장이지만 긴장 풀고 편히 상담할 수 있었습니다!,"일단은 여성전용이라는게 가장 맘에 들구요, 필수적인 기구들도 다 있어서 마음에 들었어요!!! 여자피티쌤이랑은 처음 운동해보는데 친절하셔서 좋았어요~~",당일 예약해서 아직 수업은 못들었는데 상담 친절하게해주셔서 좋았습니다~!,"직원들 다 친절하시고 가성비가 좋은 곳이라 며칠전 필라헬스 재등록 했습니다. 그런데 그때 상담해주셨던 직원분이 상담때 저에게 설명해준 내용에 착오가 있다며 다시 안내전화 주셔서 다른 프로그램으로 재등록하러 다시 갔어요. 방문 시간대가 달라서인지 다른 젊은 직원분이 계셨고요. 제가 뭐로 재결제 하려는지는 잘 아시지도 못하면서 추가 결제 하라는 말만 두어번 말씀하시길래 제가 그게 아니어서 다시 설명하니깐 본인이 왜 짜증이 나셨는지 제말을 툭 끊고 똑바로 다시 설명을 하시네요. 너무 당황했습니다. 제가 뭐 따지러 간사람도 아니고 다시 결제하러 간건데말예요. 순간 이걸 결제 해야하나 그냥 다 환불받을까 고민했습니다. 웬만하면 잊고 넘어가려 했는데, 저는 일부러 굳이 다시 간거였는데 기분이 정말 나빴습니다.","여성전용인점, 깨끗하게 관리가 잘되어 운동할맛 나요!","코로나 지나고 체력이 너무 안 좋아져서 등록을 하게 됐습니다. 여성전용, 그리고 전체적으로 시설이 깨끗한 게 좋아서 선택하게 되었어요. 운동에 대해서 전혀 몰라서 처음에 5회 체험 피티로 시작해서 추가 등록하여 피티를 본격적으로 시작하게 됐습니다. 결론적으로는 피티 하기 너무 잘했다는 생각이 듭니다! 헬스장에서 운동하기 힘든 이유가 방법을 몰라서 헤매는거였는데 ??배지훈??쌤께서 친절하게 도와주셔서 지금까지 3개월 가량 열심히 운동하는 것 같습니다. 굉장히 친절하시고 차분하게 알려주셔서 좋습니다. 그리고 항상 지금 잘하고 있다고 응원해주셔서 더 마음 편하게 할 수 있는 것 같아요. 수업이 끝나고도 해야되는 운동, 개인운동 때 해야하는 운동을 말해주셔서 운동을 체계적으로 진행할 수 있었습니다. ??","수민쌤한테 3달째 피티 받고있는데 체지방률 4%나 내려갔어요ㅜㅜ 개인의 몸에 맞게 식단+운동을 체계적으로 알려주세요! 무엇보다 무리하지 않고 지속가능한 건강한 다이어트를 하게 해주셔서 좋아요
시설도 여성전용이라 깔끔하고 웨이트존과 유산소존이 나뉘어있는 것도???? 헬린이는 휘피에 뼈를 묻습니다..","체력 기르려고 운동 시작한지 2개월이 넘었네요. 운동은 힘들다는 생각에 담쌓고 살다가 ?신성훈쌤?을 만나 아주 즐겁게 운동하고 있어요!!
다칠까봐 혼자 운동 시작하기 무서운 것도 있었는데, 운동법은 물론이고 자극점이랑 원리 등 꼼꼼히 설명해 주시고 자세 잡아 주셔서 걱정없이 재미있게 배울 수 있었어요. 개인 운동 때 궁금하거나 부족했던 부분도 계속계속 채워 주시구요!
식단은 꾸준히 무리없이 할 수 있도록 피드백 주셔서 엉망이었던 식습관 제대로 잡고, 맛있게 잘 먹으면서 관리하고 있습니다ㅎㅎ
무엇보다 운동하면서 몸뿐만 아니라 마음도 많이 건강해졌어요. 한계라고 포기하고 싶을 때마다 옆에서 무한 응원+칭찬해 주시는 쌤.. 자존감 지킴이셔요?? 쌤 덕분에 운동해요!! 감사합니당 모두 피티하세요 강추강추??",탄탄한 몸을 만들고 싶어서 집 근처 헬스장 여기저기 알아보다가 구의역 바로 앞에 여성전용 헬스장이 있다길래 바로 상담받았어요! 상담도 친절하게 해주셨고 패키지 이벤트도 진행하고 있길래 1:1 PT 5회 먼저 진행해봤는데 혜민쌤이 체계적으로 커리큘럼 짜주시고 제가 기구 사용법 위주로 원한다고 말씀드리니 반영해서 잘 해주고 계세요~ 추가 20회 끊어서 열심히 다니고 있답니다>_< 근육 1도 없는 그냥 마른 몸이었는데 두달만에 복근 그림자가 보이기 시작하고 팔뚝에 근육(같은게ㅋㅋㅋ) 붙기 시작해서 넘 신기해요!!! 매일 식단도 공유하고 피드백받고 있는데 이것도 꼼꼼히 챙겨주셔서 도움되고 있어요~! ! 여성전용인것도 넘 편하고 시설들도 다 깨끗해서 좋네요,"거창하게 살을 빼보자라는 마인드보다 먹을 걸 워낙에 좋아는 편이라, 먹기 위해서, 건강해지기 위해서 운동을 시작했습니다.
그 시작에 ?갓하영?과 함께했는데요. 반신반의하면서 시작했던 피티였는데, 생각보다 너무 효과를 많이 보고 있어서 백번을 다시 돌아가도 같은 선택을하리라 믿어 의심치않습니다.
절대 굶으면서 감량하지 않았구요, 스트레스 받지도않고 먹고 싶은 거 다 먹으면서 3개월에 체지방률만 12% 줄었습니다. 사실 아직 갈길이 멀지만, 길을 알고 걸어가는 것과 갈피도 못 잡고 방황하는 건 큰 차이가 있으니까요.
저한테 그 길을 알려준 하영쌤한테 진짜 너무 감사하고, 또 감사합니다??","소심하고 낯가림이 심해서 용기내서 PT를 받게 되었는데 친절하고 편하게 대해주시는 지훈쌤을 만나 즐겁게 운동하고 있습니다.
""배지훈쌤""에게 피티를 받으면서 식단관리와 운동 방법을 배웠어요. 기구를 다룰 줄 몰랐는데 하나하나 설명하며 가르쳐 주시고 개인운동 때에도 뭘 해야할지 가르쳐 주셔서 꾸준히 운동하게 되었습니다! 어렵고 포기하기 쉬운 식단부분도 꼼꼼하게 봐주시고 잡아주셔서 다이어트에 성공 할수 있었습니다. 앞으로도 즐겁게 운동할수 있을거 같아서 추가 등록했습니다! 
지훈쌤 짱이에요??",시설이 깨끗하고 쾌적해서 운동하기 좋아요! 혜민쌤하고 운동하면서 자세도 꼼꼼히 봐주시고 체계적으로 운동 가르쳐주셔서 허리 통증도 많이 좋아졌습니다. 여성전용이라 부담없이 다닐수있고 GX프로그램도 다양해서 좋습니다~!,"오늘 첫 수업 듣고 왔어요 :)
처음하는 필린이인데 수업 알아듣기 쉽게 설명해주시고 
운동 효과도 정말 팍팍 느껴졌어요 ㅠㅠ 자세도 잘 봐주시고 너무 만족해요!!",집콕하느라 체력이 많이 떨어지고 만성피로라서 구의 휘트니스피플에서 운동시작했습니다! 혼자서 기구 운동을 하려니 제대로 하고 있는 건지 의문이 들어서 피티 시작했어요. 이시정 쌤이 체형 고려해서 자세를 잡아주셔서 같은 운동을 하는데도 혼자 할 때랑 다르게 효과가 훨씬 좋아요! 자세히 포인트 잘 집어서 설명해주셔서 어디에 힘을 줘야 하는지 이해해기 쉬워요. 식단도 현실적으로 관리해주셔서 크게 부담 없이 지킬 수 있더라고요. 운동일기도 쓰면서 그 날 배운 운동을 복습하면서 제 걸로 만들 수 있어서 재밌게 잘 하고 있습니다! 그리고 자세도 바르게 바뀌고 근육이 조금씩 붙으면서 체력이 늘었습니다. 넘 좋아요~ 운동 초보자거나 빠른 시간 안에 변화를 원한다면 추천합니다.,"재결제했어요
피티받고 있는데 근육 만드는데 도움이 엄청 되고있어요","헬스장 자체가 처음이어서 기구를 쓸 줄 몰라 헬린이 코스를 시작으로 지금의 시정 쌤 ????을 만나 무려 3달..? 정도를 PT 받으며 다니고 있습니다 ??운동하다 다치지 않게 정확한 자세와 근육 움직임을 알려주셔서 이해하기 쉽고 지치지 않게 옆에서 응원해주셔서 포기하지 않고 열심히 하고 있습니다 ????식단부터 개인 운동 방법까지 꼼꼼하게 관리해주셔서 너무 감사하고 좋습니다 ?? 헬스장이 너무 어렵게 느껴지시면 여성 전용, 다양한 GX 프로그램을 갖춘 휘트니스피플 구의점 너무 추천합니다 ?","이번이 세번째 재계약 이네요~!!!
일단 지상에 있어서 좋구 여성전용이라는 점이 만족스러워요~
반신욕기랑 GX실이 있어서 쾌적하게 운동할 수 있답니다 :)
다니면서 큰 불편함이 없어서 꾸준히 다니게 되는것 같아요~ 구의역 센터로 추천합니다 (??????)","여성전용 되기전부터 다녀서 벌써 센터 이용한지
3년째네요~
최근에 기구도 새로 들어오고 다니면서 큰 불편함이 없어 이번에도 재계약 했어요 :) 여성전용으로 바뀌어서 더 좋아요~!!!
구의역에서 헬스 고민중이시면 추천드려요^^","태어나서 처음하는 pt라 젤 걱정했던부분이피티쌤잘맞는분이길 바랬는데 전하영쌤???? 만나면서 등록하길잘했다는생각했어요!피티를망설였던 이유중 식단관리나 평소전혀운동을하지않는사람이라 운동이 과해서 스트레스 받진않을까 걱정했는데 괜한 걱정을 했었더라구요! 운동에 운자도 모르던 사람이였는데 기구이름부터 사용법,어디로힘을써야하는지 뿐만아니라 저에게 알맞게 세심히가르쳐주시고늘 칭찬해줘서 자신감 뿜뿜ㅎㅎ식단부분도 천천히 프로틴 먹는습관들이는 순서로 시작 해주셔서 전혀 스트레스 받지 않게 진행중인것같아요! 제가 운동에 흥미를 가지게되고 pt가는날을 기달리게 될줄은 몰랐어욬ㅋㅋㅋ10회등록했다가 하영쌤 매력에 빠져서 20회 더 추가 등록해버렸네요ㅎㅎ앞으로도 계속 즐겁게 운동할수있을것같아여정말하영쌤은완전 강추입니다!??????",굿굿,시설이 깔끔하고 시간도 오전일찍과 밤늦게까지 운영되는게 가장 좋아요,"혼자 운동을 하고 있던 도중 한계를 느끼는 찰나에 우연히 수민쌤에게 OT를 받아보게 되었고, 딱 제가 원하던 트레이너쌤이라 pt를 끊고 운동을 시작하게 되었어요! 우선 제가 원하던 운동은 여자라고 살만 빼는게 아닌 근육량을 늘리고 진짜 몸을 키우는 운동이였는데
수민쌤은 OT임에도 처음부터 여자도 무게를 쳐야한다는 말씀과 제가 원하던 골격근량 증가를 목표로 운동을 가르쳐 주셨고, 이후 수민쌤과 같이 운동을 하면서 저의 부족했던 자세와 근육의 자극,팁들을 세세하게 알려주셔서 정말 혼자 할때와는 비교되게 근육의 느낌을 잘 알게 되었어요! 식단도 엄청 세세하게 알려주셨고 식사시간 횟수 등도 챙겨주셔서 식단과 운동 두마리 토끼를 잡을수있었습니다! 앞으로도 수민쌤과 계속 운동하면서 근육량 20kg대 진입하고 싶어요!?",일일권 끊어서 하고 왔어요~,"헬스장 다양한 곳에서 다양한 사람들한테 pt 받아봤습니다. 여러 경험 중 단연 정말 이곳 별이 다섯개 ?????????? 

저의 선생님인...(그저) ??갓혜민쌤....??수업 시간에 정말 친절하고 꼼꼼하게 설명 해주시고 맞춤으로 잘 지도 해주십니다. 운동 싫어하는 사람인 저에게 운동에 흥미를 느낄 수 있게끔 수업을 이끌어주시고 연락으로 관리를 햊 셔서 정말 좋아요.

정말 추천 드립니다. 무엇보다 여성 전용이라는 점이 너무 큰 메리트인.....","인생 첫 피티시작한지 2달이 넘었네요. 더이상 운동을 미루면 안될것 같아 시작하기로 마음먹고 지인추천으로 여기 헬스장오게 되었는데 시설도 깔끔하고 좋고 무엇보다 저와 맞는 하영쌤을 만나서 너무 좋아요. 
??전하영?? 선생님께 피티받으면서 식단, 운동, 스트레칭 방법 등 여러가지를 배웠어요. 스쿼트, 런지 기본동작 뿐만아니라 기구사용법도 옆에서 직접 봐주시고 근육움직임을 느껴보라고 알려주셔서 이해가 잘 되더라구요. 
그리고 제 성향에 맞춰서 운동을 잘 이끌어주셔서 포기하지 않고 꾸준히 운동나올수 있었어요 ㅎㅎ 첫 만남때 믿고 따라오면 된다고 하셨던 말씀대로 열심히 따라가는 중입니다ㅋㅋ 
일단 운동은 시작해보세요~ 확실히 몸이 달라져요??",오늘 첨 수업인데.운동 많이 되고 좋았습니다~~^^,출근하고 나서 두달쯤 되니깐 살이 찌는게 느껴지더라구요ㅠㅠ그래서 집 근처 헬스장을 찾다가 여기로 오게 되었는데 시설도 깨끗하고 피티도 처음 받아 봤는데 선생님이 운동 할 때마다 자세랑 꼼꼼히 봐주시고 어디 부분이 자극이되고 운동이 되는지 자세히 알려주셔서 매번 재밌게 운동 하게 된거 같아용!!??운동을 처음 시작해보면 피티 받아보시는 것도 정말 좋은거 같아용 덕분에 운동에 흥미가 생기고 시간도 잘 가고 너무너무 좋았습니당!-!??,"여성전용이라 그런지 정말 쾌적해요.흔히 헬스장에서 나는 냄새도 하나도 안나고 기계도 깨끗하구.
탈의실과 샤워실도 깨끗해서 좋더라구요

금욜마다 그룹 pt 무료로 할 수 있는것도 개꿀이더라구요. 
이번에 개인 pt 받으면서 자세도 좋아져서 넘 좋았습니다!! 꼼꼼히 알려주시고 안맞는거 같으면 바로 다른 방법으로 개인에 맞게 알려주는게 완전 짱짱???? 수민쌤 넘넘 감사했습니당! 시간이 넘 빨리 지나갔어용!","불규칙 적인 생활을 하다보니까 몸,체력 전부안 좋아지고 살도 많이 쪄서 건강해지고 체력도 늘리려고 시작 했습니당 제가 당시에 허리도 안 좋아서 운동하기 더 힘들었는데??종찬쌤??덕분에 꾸준히 계속 할 수 있었던 거 같아요! 몸에 안 좋은 부분이 있는지 계속 체크 해서 무리 안 갈 수 있게 수업 해주시고 운동도 꾸준히 나올 수 있게 신경써주시고 식단이나 이런 것도 극단적으로 하는게 아니라 제가 꾸준히 할 수 있도록 맞춰서 해주셔서 지금까지 큰 스트레스 없이 계속 할 수 있었습니당! 
운동도 처음부터 천천히 잘 알려주셔서 어렵지 않게 배울 수 있게 설명도 잘 해주시고 성격도 엄청 좋으셔서 재밌게 운동하고 배울 수 있었어용!덕분에 지금까지 체중 감량도 많이하고 예전에 안 좋던 허리도 많이 좋아져서 너무 좋아요ㅠㅠ",직원이 친절해요,"헬스장은 간간히 다녔었는데, 아는 운동이 없어서 러닝만하고 집에 오는 경우가 대부분이었어요. 그러다 이번에 피티를 하게 되어서 ‘?전하영?’쌤과 같이 운동하고 있습니다. 피티가 처음이라 혹여 후회하면 어쩌나 걱정이 이만저만 아니었는데, 지금은 그런거 다 없어질만큼 하영쌤하고 열심히 운동하고 있습니다.
원래였으면 등록하고 2-3개월이 지난 지금쯤이면 흥미도, 다짐도 잃어 점점 가기 싫어졌을텐데요. 지금은 새로운 운동법들을 터득하니까, 아직도 일주일 네번은 기본으로 꾸준히 가고 있습니다.
뿐만 아니라, 특히 먹을 걸 너무나 좋아하는데 쌤 만나고 먹을거에 큰 스트레스없이 감량 중입니다. 혹시 망설이고 있는 분 계시면 당장 달려가세요! 절대 후회하지 않을 선택이실거예요????",체력향상을 목적으로 처음에 등록했었어요 PT패키지로 처음 PT수업을 접했는데 전하영 트레이너 선생님 덕분에 운동이 좋아지고 있어요! 매 수업 끝나고 코멘트 달아주시고 낯가리는데 많이 배려해주셔서 항상 감사하게 운동 나가고 있습니다 선생님이 제일 중요하게 생각 하시는게 스트레스 받지 않는 거라고 하셨는데 정말 스트레스 없이 즐겁게 운동중입니다!! 진짜 전하영 트레이너쌤을 만나게 된 덕분에 많이 바뀌게 된 것 같아요 하영쌤이랑 운동 열번 하세요ㅠㅠ백번하세요ㅠㅠㅠㅠ절대 후회 안 하실 거에요!!!!,나이가 드니 이전보다 살이 더 잘붙는거 같고 직업 특성상 앉아서 일을 하다보니 허리가 안좋아져서 운동을 결심했어요. 피티와 병행하며 제대로 운동하려고 가장 후기가 좋은 센터를 골랐는데 넘 만족하며 다니고 있어요! ??이시정쌤??은 근육이 어떻게 위치해있고 운동의 원리도 알려주시니 감도 익히기 쉬워 저같이 운동을 안하시던 분들도 만족할거라 생각해요!? 휘트니스피플 이시정쌤과 함께하며 건강하고 멋진 일상을 보내고 있습니다!????,"운동은 하고싶은데, 매번 헬스장을 다니면 런닝머신만 하고 오는 제가 싫어서ㅠㅠ pt를 받아보기로 맘 먹고 ??시정쌤??께 운동 배우고있어요 ㅎㅎ 너무 잘 알려주시고, 운동을 기구로 제대로 배우는건 처음이라 잘 모르겠는 부분들이 많은데 설명도 잘 해주시고 자극이 오는 부분을 계속 확인해주시고, 기구운동부터 맨몸으로 할 수 있는 운동까지 다양하게 알려주셔서 너무 너무 좋아요 ㅠㅠ!!! 힘들고 재밌습니다!!! 운동에 투자하는게 이렇게 보람차고 행복한 일이구나 싶고ㅎㅎㅎ 앞으로도 운동을 꾸준히 잘 할수있을것같아요!!!!! 항상 감사합니당 시정쌤>.< 그리고 또 정말 좋은건 여성전용 헬스장이라 편안하고 꾸준히 나가는거에도 도움이 확실히 되는것같아요 ㅎㅎ",필라테스 등등 여러 운동하다가 금방 그만두곤 해서 거의 운동 포기 직전이었는데(?) 휘트니스 피플에서 ??전하영선생님??을 만나고 여기에 정착할 수 있었어요!! 처음에 기본 체력과 식습관이 제대로 잡혀있지 않은 상태였는데도 식단이나 운동 방법들을 자세히 알려주셔서 완전 초보인 저도 잘 따라갈 수 있었어요:) 간혹 제가 나태해져서 잠수탈 때는 연락도 계속 해주시고 잘 챙겨주셨습니당!!ㅎㅎ.. 그리고 무엇보다 선생님께서 정말 밝으셔서 낯 잔뜩 가리는 저조차 즐거운 분위기에서 운동할 수 있었어요 ???? 센터 자체도 여성 전용에 시설도 잘 갖추어져 있어서 편하게 이용하고 있습니다 !!,"체력이 떨어지기 시작해서 ??종찬쌤??께 pt를 받게 되었습니다????
제 자신도 몰랐던 제 몸에 상태가 안좋은 부분들을 딱딱 캐치해주시고 몸 컨디션도 항상 체크해주세요 그리고 그 부분에 도움이 되는 운동들을 상세하게 잘 알려주세요 운동하는 동안은 자세와 자극이 와야하는 부분 다 놓치지않고 알려주셔서 운동효과 제대로 입니다?? 약간 재활하는 기분같기도하고ㅋㅋ 
종찬쌤과 운동 후 땀범벅으로 운동끝나고 운동한부분이 펌핑된걸 보면 보람차고 아주 뿌듯해요????????
수업때만이 아닌 개인운동도 신경써주시고 몸에서 느끼는 변화가 보람차고 뿌듯해요!??
요즘 운동에 재미를 느끼고 종찬쌤 열정으로 더 달려보려 합니다!! ??????","??시정 쌤??과 같이 운동한지 한 달이 되어가는데요. 항상 꼼꼼히 잘 체크해 주시는 선생님 덕분에 열심히 다이어트를 해내가고 있습니다!?????
부족한 영양소 와 무엇을 챙겨 먹으면 좋을지 잘 알려주셔서 스트레스 없이 식단 유지를 잘 해내 나갈 수 있었어요?? 식단뿐만 아니라 운동을 알려주실 때도 올바른 자세와 자극점을 잘 느낄 수 있게 도와주시고, 운동이 끝난 후에도 개인 운동 습관을 기를 수 있게 운동일지 작성하는 법도 알려주시고 , 개인 운동 루틴도 신경 써 주셔서 너무 만족하며 배우고 있습니다????
PT 시작을 ‘시정 쌤’ 과 같이 하신다면 건강한 감량과 운동에 재미를 붙이실 수 있습니다??강추!!
진심으로 회원 감량에 신경 써주시고 저보다 열정이 넘치셔서ㅎㅎ잘 이끌어주시는 시정쌤 감사해요??",1년동안 이용했는데 좋아요
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
