,company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care,teacher,view,shower,excessive
0,1150285601,335,335,226,79,235,79,210,29,61,20,0,0,0,0,0
1,272888535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18788499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,32085717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1530150594,17,16,15,8,10,7,10,1,4,2,0,0,0,0,0
5,21111585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11691712,16,13,9,5,11,11,8,4,10,2,0,0,0,0,0
7,37309187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,34346765,112,75,95,70,67,34,65,11,29,12,0,0,0,0,0
9,37638105,30,29,33,24,6,20,0,9,22,0,14,24,0,0,0
10,1061867273,28,21,24,4,6,18,20,1,11,1,0,0,0,0,0
11,1213139053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1806684520,74,59,63,55,20,67,44,16,58,12,0,0,0,0,0
13,1006755563,24,28,18,9,22,6,15,5,2,2,0,0,0,0,0
14,1693279616,6,3,4,1,1,0,2,3,1,2,0,0,0,0,0
15,34287354,21,19,21,11,18,2,10,10,2,4,0,0,0,0,0
16,12032777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34287354,21,19,21,11,18,2,10,10,2,4,0,0,0,0,0
18,34287354,21,19,21,11,18,2,10,10,2,4,0,0,0,0,0
19,36105399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,36418609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,405152522,6,4,1,2,5,0,0,0,1,2,0,0,0,0,0
22,37233073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,37256941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,37704782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,37814798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,38241100,50,31,10,3,36,53,35,0,31,1,0,0,0,0,0
27,823249514,15,12,5,6,2,23,13,3,22,0,18,0,0,0,0
28,1278400640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,73553317,67,68,63,35,24,21,62,28,27,46,0,0,0,0,0
30,32489668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1578353949,14,7,5,0,3,18,9,0,12,0,14,0,0,0,0
32,1134766409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1025976659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1463857548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1346017056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1499931973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1025953476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1470718226,12,11,3,0,0,16,9,2,14,0,16,0,0,0,0
39,1697698006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,19546029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
