company_id,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX,care
0,,,,,,,,,,,
1,,,,,,,,,,,
2,12,9,11,4,3,5,3,,4,1,
3,,,,,,,,,,,
4,8,,2,1,2,1,5,1,1,2,
5,9,7,6,3,4,7,3,1,6,1,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,8,8,6,,6,4,2,5,6,,
12,,,,,,,,,,,
13,19,15,4,,1,18,12,,14,,20
14,,,,,,,,,,,
15,,,,,,,,,,,
16,73,24,12,,,60,11,9,70,,39
17,85,35,10,,18,83,55,3,77,,65
18,31,23,13,8,11,24,14,,23,5,
19,,,,,,,,,,,
